70%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,1641,[2 1 5 3 4 6 0],1920,[2 5 0 1 3 4 6],1709,[2 3 1 0 6 5 4],1903,[2 4 6 1 0 5 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,3160,[4 2 1 5 6 0 3],3736,[5 1 0 4 6 2 3],643,[0 6 2 5 1 4 3],2370,[3 1 5 6 0 2 4]
2,1217,[1 5 0 4 6 3 2],1921,[2 5 0 1 3 6 4],1550,[2 0 6 4 3 1 5],974,[1 3 0 5 4 2 6]
3,2304,[3 1 2 0 4 5 6],1258,[1 5 3 2 6 0 4],1331,[1 6 0 3 5 4 2],3758,[5 1 2 4 3 0 6]
4,1981,[2 5 3 4 0 6 1],2448,[3 2 4 0 1 5 6],970,[1 3 0 4 6 2 5],3525,[4 6 1 5 2 3 0]
5,1612,[2 1 4 0 6 3 5],3230,[4 2 6 3 1 0 5],3097,[4 1 6 0 2 5 3],3005,[4 1 0 2 6 5 3]
6,3814,[5 1 4 6 3 0 2],1982,[2 5 3 4 1 0 6],3567,[4 6 3 2 1 5 0],3462,[4 5 6 1 0 2 3]
7,1686,[2 3 0 4 1 5 6],3965,[5 3 0 1 6 4 2],3577,[4 6 5 0 1 3 2],3774,[5 1 3 2 0 4 6]
8,552,[0 5 4 1 2 3 6],3672,[5 0 4 1 2 3 6],2967,[4 0 5 3 2 6 1],861,[1 2 0 6 4 5 3]
9,2674,[3 5 1 2 6 0 4],2203,[3 0 2 6 1 5 4],1261,[1 5 3 4 0 6 2],3667,[5 0 3 6 1 4 2]
10,3899,[5 2 3 1 6 4 0],2927,[4 0 2 6 5 3 1],2962,[4 0 5 2 6 1 3],2894,[4 0 1 5 3 2 6]
11,639,[0 6 2 4 3 5 1],1092,[1 4 0 5 2 3 6],2044,[2 6 0 1 5 3 4],1894,[2 4 5 6 3 0 1]
12,2188,[3 0 2 1 6 4 5],2137,[2 6 5 0 1 4 3],3138,[4 2 0 6 1 3 5],3358,[4 3 6 5 2 0 1]
13,3564,[4 6 3 2 0 1 5],1248,[1 5 3 0 2 4 6],3272,[4 3 1 2 5 0 6],1918,[2 4 6 5 3 0 1]
14,1702,[2 3 0 6 5 1 4],2879,[3 6 5 4 2 1 0],2996,[4 0 6 5 2 1 3],2571,[3 4 2 0 5 6 1]
15,3322,[4 3 5 1 6 0 2],1249,[1 5 3 0 2 6 4],609,[0 6 1 3 4 5 2],838,[1 0 6 5 4 2 3]
16,3290,[4 3 2 0 5 1 6],1838,[2 4 1 5 3 0 6],3070,[4 1 3 6 5 0 2],639,[0 6 2 4 3 5 1]
17,3248,[4 3 0 2 5 1 6],1573,[2 1 0 5 3 6 4],2133,[2 6 4 5 1 3 0],1074,[1 3 6 5 0 2 4]
18,892,[1 2 4 0 6 3 5],2721,[3 5 4 1 2 6 0],3202,[4 2 5 1 6 0 3],1339,[1 6 0 5 2 4 3]
19,3973,[5 3 0 4 1 6 2],2898,[4 0 1 6 2 3 5],871,[1 2 3 4 0 6 5],3197,[4 2 5 0 6 3 1]
20,1807,[2 4 0 3 1 6 5],1145,[1 4 3 5 6 2 0],2407,[3 2 0 4 1 6 5],2057,[2 6 0 4 5 3 1]
21,2624,[3 4 6 1 2 0 5],3403,[4 5 1 6 0 3 2],852,[1 2 0 5 3 4 6],2875,[3 6 5 4 0 2 1]
22,3296,[4 3 2 1 5 0 6],2932,[4 0 3 1 6 2 5],3227,[4 2 6 1 5 3 0],2973,[4 0 5 6 2 3 1]
23,892,[1 2 4 0 6 3 5],4095,[5 4 0 3 2 6 1],1184,[1 4 6 2 3 0 5],3476,[4 5 6 3 1 0 2]
24,2782,[3 6 0 5 4 1 2],3203,[4 2 5 1 6 3 0],3340,[4 3 6 0 5 1 2],2169,[3 0 1 4 5 6 2]
25,1671,[2 1 6 4 3 5 0],1453,[2 0 1 5 3 6 4],3761,[5 1 2 4 6 3 0],3356,[4 3 6 5 1 0 2]
26,1253,[1 5 3 0 6 4 2],2995,[4 0 6 5 1 3 2],1091,[1 4 0 3 6 5 2],3364,[4 5 0 1 6 2 3]
27,2555,[3 4 1 2 6 5 0],3918,[5 2 4 1 0 3 6],3552,[4 6 3 0 1 2 5],3180,[4 2 3 5 0 1 6]
