99%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,87,[0 1 5 4 3 6 2],594,[0 5 6 4 1 2 3],1961,[2 5 1 4 6 3 0],249,[0 3 1 4 5 6 2]
2,2238,[3 0 5 2 1 4 6],4584,[6 2 1 0 3 4 5],1359,[1 6 2 4 3 5 0],2611,[3 4 5 6 0 2 1]
3,3020,[4 1 0 6 3 2 5],2032,[2 5 6 3 4 0 1],2173,[3 0 1 5 2 6 4],1055,[1 3 5 6 4 2 0]
4,2330,[3 1 4 0 5 2 6],4310,[5 6 4 2 1 0 3],4688,[6 3 0 2 4 1 5],1293,[1 5 4 6 2 3 0]
5,2501,[3 2 6 0 5 4 1],3905,[5 2 3 4 6 1 0],4685,[6 3 0 1 5 4 2],3862,[5 2 0 6 4 1 3]
6,2845,[3 6 4 2 0 5 1],3185,[4 2 3 5 6 1 0],3770,[5 1 3 0 4 2 6],973,[1 3 0 5 2 6 4]
7,1558,[2 0 6 5 4 1 3],2606,[3 4 5 2 1 0 6],1013,[1 3 4 0 6 5 2],2439,[3 2 1 5 4 6 0]
8,1308,[1 5 6 3 0 2 4],4854,[6 4 2 1 0 3 5],1063,[1 3 6 2 0 5 4],997,[1 3 2 5 0 6 4]
9,4777,[6 3 5 0 1 4 2],1938,[2 5 0 6 1 3 4],291,[0 3 4 1 5 6 2],336,[0 3 6 1 2 4 5]
10,823,[1 0 6 3 2 5 4],4254,[5 6 2 1 0 3 4],3455,[4 5 3 6 2 1 0],4850,[6 4 2 0 3 1 5]
11,4263,[5 6 2 3 1 4 0],717,[0 6 5 4 2 3 1],3251,[4 3 0 2 6 5 1],3223,[4 2 6 1 0 5 3]
12,2605,[3 4 5 2 0 6 1],2746,[3 5 6 1 4 0 2],869,[1 2 3 0 6 5 4],4836,[6 4 1 3 0 2 5]
13,4684,[6 3 0 1 5 2 4],3755,[5 1 2 3 6 4 0],2507,[3 2 6 1 5 4 0],1110,[1 4 2 3 0 5 6]
14,4224,[5 6 1 0 2 3 4],100,[0 1 6 2 5 3 4],2199,[3 0 2 5 4 6 1],1722,[2 3 1 6 0 4 5]
15,3828,[5 1 6 3 0 2 4],4476,[6 1 2 4 0 3 5],1745,[2 3 4 5 6 1 0],3530,[4 6 2 0 3 1 5]
16,2808,[3 6 2 0 1 4 5],4013,[5 3 2 0 6 4 1],3014,[4 1 0 5 3 2 6],3520,[4 6 1 3 5 0 2]
17,1493,[2 0 4 1 6 5 3],3197,[4 2 5 0 6 3 1],965,[1 3 0 2 6 5 4],2838,[3 6 4 1 0 2 5]
