10%,Optima 1, Optima [1]
 ,1,[0 1 2 3 4 6 5]
------------------------------------------------
#,Optima 1, Optima [1]
1,36,[0 1 3 5 2 4 6]
2,423,[0 4 3 5 2 6 1]
3,490,[0 5 1 3 6 2 4]
4,114,[0 1 6 5 2 3 4]
5,292,[0 3 4 1 6 2 5]
6,96,[0 1 6 2 3 4 5]
7,482,[0 5 1 2 4 3 6]
8,214,[0 2 5 6 4 1 3]
9,372,[0 4 1 5 2 3 6]
10,408,[0 4 3 1 2 5 6]
11,183,[0 2 4 5 3 6 1]
12,377,[0 4 1 5 6 3 2]
13,411,[0 4 3 1 5 6 2]
14,337,[0 3 6 1 2 5 4]
15,80,[0 1 5 3 4 2 6]
16,442,[0 4 5 2 6 1 3]
17,115,[0 1 6 5 2 4 3]
18,398,[0 4 2 5 3 1 6]
19,478,[0 4 6 5 3 1 2]
20,333,[0 3 5 6 2 4 1]
21,59,[0 1 4 3 6 5 2]
22,43,[0 1 3 6 2 5 4]
23,146,[0 2 3 1 5 4 6]
24,202,[0 2 5 3 6 1 4]
25,110,[0 1 6 4 3 2 5]
26,311,[0 3 4 6 5 2 1]
27,56,[0 1 4 3 5 2 6]
28,169,[0 2 4 1 3 6 5]
29,325,[0 3 5 4 1 6 2]
30,73,[0 1 5 2 3 6 4]
31,338,[0 3 6 1 4 2 5]
32,406,[0 4 2 6 5 1 3]
33,75,[0 1 5 2 4 6 3]
34,98,[0 1 6 2 4 3 5]
35,173,[0 2 4 1 6 5 3]
36,459,[0 4 6 1 3 5 2]
37,148,[0 2 3 1 6 4 5]
38,413,[0 4 3 1 6 5 2]
39,35,[0 1 3 4 6 5 2]
40,258,[0 3 1 6 2 4 5]
41,42,[0 1 3 6 2 4 5]
42,41,[0 1 3 5 6 4 2]
43,270,[0 3 2 4 1 5 6]
44,217,[0 2 6 1 3 5 4]
45,253,[0 3 1 5 2 6 4]
46,77,[0 1 5 2 6 4 3]
47,243,[0 3 1 2 5 6 4]
48,156,[0 2 3 5 1 4 6]
49,382,[0 4 1 6 5 2 3]
50,45,[0 1 3 6 4 5 2]
51,414,[0 4 3 2 1 5 6]
52,422,[0 4 3 5 2 1 6]
53,207,[0 2 5 4 3 6 1]
54,241,[0 3 1 2 4 6 5]
55,411,[0 4 3 1 5 6 2]
56,497,[0 5 1 4 6 3 2]
57,277,[0 3 2 5 1 6 4]
58,289,[0 3 4 1 2 6 5]
59,5,[0 1 2 3 6 5 4]
60,485,[0 5 1 2 6 4 3]
61,41,[0 1 3 5 6 4 2]
62,314,[0 3 5 1 4 2 6]
63,394,[0 4 2 3 6 1 5]
64,299,[0 3 4 2 6 5 1]
65,70,[0 1 4 6 5 2 3]
66,281,[0 3 2 5 6 4 1]
67,302,[0 3 4 5 2 1 6]
68,313,[0 3 5 1 2 6 4]
69,164,[0 2 3 6 4 1 5]
70,126,[0 2 1 4 3 5 6]
71,294,[0 3 4 2 1 5 6]
72,207,[0 2 5 4 3 6 1]
73,364,[0 4 1 2 6 3 5]
74,220,[0 2 6 1 5 3 4]
75,291,[0 3 4 1 5 6 2]
76,18,[0 1 2 6 3 4 5]
77,277,[0 3 2 5 1 6 4]
78,434,[0 4 5 1 3 2 6]
79,453,[0 4 5 6 2 3 1]
80,33,[0 1 3 4 5 6 2]
81,69,[0 1 4 6 3 5 2]
82,404,[0 4 2 6 3 1 5]
83,292,[0 3 4 1 6 2 5]
84,280,[0 3 2 5 6 1 4]
85,164,[0 2 3 6 4 1 5]
86,420,[0 4 3 5 1 2 6]
87,200,[0 2 5 3 4 1 6]
88,339,[0 3 6 1 4 5 2]
89,192,[0 2 5 1 3 4 6]
90,181,[0 2 4 5 1 6 3]
91,182,[0 2 4 5 3 1 6]
92,364,[0 4 1 2 6 3 5]
93,408,[0 4 3 1 2 5 6]
94,55,[0 1 4 3 2 6 5]
95,218,[0 2 6 1 4 3 5]
96,233,[0 2 6 4 5 3 1]
97,152,[0 2 3 4 5 1 6]
98,475,[0 4 6 5 1 3 2]
99,147,[0 2 3 1 5 6 4]
100,477,[0 4 6 5 2 3 1]
1,280,[0 3 2 5 6 1 4]
2,434,[0 4 5 1 3 2 6]
3,496,[0 5 1 4 6 2 3]
4,257,[0 3 1 5 6 4 2]
5,256,[0 3 1 5 6 2 4]
6,208,[0 2 5 4 6 1 3]
7,59,[0 1 4 3 6 5 2]
8,491,[0 5 1 3 6 4 2]
9,454,[0 4 5 6 3 1 2]
10,393,[0 4 2 3 5 6 1]
11,220,[0 2 6 1 5 3 4]
12,348,[0 3 6 4 1 2 5]
13,341,[0 3 6 1 5 4 2]
14,476,[0 4 6 5 2 1 3]
15,416,[0 4 3 2 5 1 6]
16,141,[0 2 1 6 4 5 3]
17,22,[0 1 2 6 5 3 4]
18,114,[0 1 6 5 2 3 4]
19,136,[0 2 1 5 6 3 4]
20,154,[0 2 3 4 6 1 5]
21,82,[0 1 5 3 6 2 4]
22,467,[0 4 6 2 5 3 1]
23,122,[0 2 1 3 5 4 6]
24,488,[0 5 1 3 4 2 6]
25,448,[0 4 5 3 6 1 2]
26,435,[0 4 5 1 3 6 2]
27,303,[0 3 4 5 2 6 1]
28,309,[0 3 4 6 2 5 1]
29,3,[0 1 2 3 5 6 4]
30,58,[0 1 4 3 6 2 5]
31,371,[0 4 1 3 6 5 2]
32,307,[0 3 4 6 1 5 2]
33,287,[0 3 2 6 5 4 1]
34,480,[0 5 1 2 3 4 6]
35,257,[0 3 1 5 6 4 2]
36,139,[0 2 1 6 3 5 4]
37,412,[0 4 3 1 6 2 5]
38,35,[0 1 3 4 6 5 2]
39,25,[0 1 3 2 4 6 5]
40,460,[0 4 6 1 5 2 3]
41,361,[0 4 1 2 3 6 5]
42,213,[0 2 5 6 3 4 1]
43,390,[0 4 2 3 1 5 6]
44,303,[0 3 4 5 2 6 1]
45,465,[0 4 6 2 3 5 1]
46,339,[0 3 6 1 4 5 2]
47,24,[0 1 3 2 4 5 6]
48,436,[0 4 5 1 6 2 3]
49,144,[0 2 3 1 4 5 6]
50,77,[0 1 5 2 6 4 3]
51,212,[0 2 5 6 3 1 4]
52,39,[0 1 3 5 4 6 2]
53,339,[0 3 6 1 4 5 2]
54,497,[0 5 1 4 6 3 2]
55,395,[0 4 2 3 6 5 1]
56,318,[0 3 5 2 1 4 6]
57,313,[0 3 5 1 2 6 4]
58,9,[0 1 2 4 5 6 3]
59,313,[0 3 5 1 2 6 4]
60,325,[0 3 5 4 1 6 2]
61,409,[0 4 3 1 2 6 5]
62,255,[0 3 1 5 4 6 2]
63,489,[0 5 1 3 4 6 2]
64,396,[0 4 2 5 1 3 6]
65,23,[0 1 2 6 5 4 3]
66,418,[0 4 3 2 6 1 5]
67,61,[0 1 4 5 2 6 3]
68,365,[0 4 1 2 6 5 3]
69,220,[0 2 6 1 5 3 4]
70,278,[0 3 2 5 4 1 6]
71,233,[0 2 6 4 5 3 1]
72,491,[0 5 1 3 6 4 2]
73,89,[0 1 5 4 6 3 2]
74,181,[0 2 4 5 1 6 3]
75,297,[0 3 4 2 5 6 1]
76,374,[0 4 1 5 3 2 6]
77,77,[0 1 5 2 6 4 3]
78,323,[0 3 5 2 6 4 1]
79,24,[0 1 3 2 4 5 6]
80,110,[0 1 6 4 3 2 5]
81,412,[0 4 3 1 6 2 5]
82,371,[0 4 1 3 6 5 2]
83,166,[0 2 3 6 5 1 4]
84,430,[0 4 3 6 5 1 2]
85,351,[0 3 6 4 2 5 1]
86,333,[0 3 5 6 2 4 1]
87,472,[0 4 6 3 5 1 2]
88,294,[0 3 4 2 1 5 6]
89,86,[0 1 5 4 3 2 6]
90,444,[0 4 5 3 1 2 6]
91,330,[0 3 5 6 1 2 4]
92,404,[0 4 2 6 3 1 5]
93,227,[0 2 6 3 5 4 1]
94,204,[0 2 5 4 1 3 6]
95,52,[0 1 4 2 6 3 5]
96,106,[0 1 6 3 5 2 4]
97,228,[0 2 6 4 1 3 5]
98,499,[0 5 1 6 2 4 3]
99,281,[0 3 2 5 6 4 1]
100,47,[0 1 3 6 5 4 2]
1,278,[0 3 2 5 4 1 6]
2,164,[0 2 3 6 4 1 5]
3,217,[0 2 6 1 3 5 4]
4,370,[0 4 1 3 6 2 5]
5,349,[0 3 6 4 1 5 2]
6,225,[0 2 6 3 4 5 1]
7,454,[0 4 5 6 3 1 2]
