70%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 1 2 3 8 5 4 7 6 9],3025,[0 1 2 7 4 5 3 6 9 8],1680,[0 1 2 5 6 3 4 7 8 9],2147,[0 1 2 5 9 8 4 7 6 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1967068,[5 3 8 2 0 4 1 9 6 7],319709,[0 8 9 4 1 3 2 7 6 5],1211044,[3 4 0 5 1 2 6 9 7 8],1260177,[3 5 2 0 4 7 6 8 9 1]
2,2183602,[6 0 2 3 8 7 4 9 1 5],1663011,[4 6 1 9 7 3 0 5 8 2],2003801,[5 4 7 6 0 2 8 9 3 1],1195140,[3 2 7 0 9 5 6 1 4 8]
3,1912883,[5 2 4 6 8 7 1 9 3 0],2188780,[6 0 3 2 9 8 1 7 4 5],1380076,[3 8 1 7 6 5 0 9 2 4],143333,[0 4 6 5 1 7 2 9 8 3]
4,2497998,[6 8 9 4 2 5 1 0 3 7],265079,[0 7 5 6 1 9 8 4 3 2],1054925,[2 9 1 4 3 0 5 8 7 6],591580,[1 6 7 3 5 9 0 8 2 4]
5,1076095,[2 9 6 4 5 3 1 0 8 7],1780234,[4 9 1 2 6 3 5 8 0 7],1627979,[4 5 3 0 1 7 6 9 8 2],1320260,[3 6 7 9 5 0 8 2 1 4]
6,1210213,[3 4 0 1 9 2 7 5 8 6],1859866,[5 1 2 0 3 9 6 8 4 7],1437603,[3 9 6 1 7 0 2 5 8 4],837400,[2 3 8 1 0 5 7 9 4 6]
7,1497511,[4 1 2 0 9 5 6 3 8 7],1824050,[5 0 2 9 4 6 1 7 3 8],342765,[0 9 5 1 2 4 8 6 7 3],351385,[0 9 6 7 1 3 2 4 8 5]
8,930490,[2 6 0 7 4 1 5 9 3 8],1973160,[5 3 9 4 6 0 1 2 7 8],676055,[1 8 7 0 9 5 6 4 3 2],1675108,[4 6 5 2 7 1 0 9 3 8]
9,1225602,[3 4 5 1 2 6 9 0 7 8],682565,[1 8 9 4 0 2 3 7 6 5],857054,[2 4 3 0 6 1 8 7 5 9],2365791,[6 4 7 2 8 9 3 1 5 0]
10,1120494,[3 0 8 4 2 6 5 1 7 9],576925,[1 6 3 5 2 8 7 0 9 4],947491,[2 6 4 9 8 5 7 0 3 1],2207499,[6 0 7 9 8 5 1 3 4 2]
11,1254957,[3 5 0 9 8 7 6 2 4 1],522326,[1 4 9 6 3 7 5 2 0 8],34108,[0 1 8 7 4 3 2 9 5 6],1406653,[3 8 9 0 6 1 5 2 7 4]
12,508985,[1 4 6 9 8 3 5 7 2 0],1678517,[4 6 7 0 2 8 1 9 5 3],323555,[0 9 1 3 5 4 6 8 7 2],1608899,[4 3 9 1 6 5 2 8 7 0]
13,1399368,[3 8 6 5 4 2 0 1 7 9],1804379,[4 9 7 0 1 5 3 8 6 2],1898193,[5 2 0 7 4 3 6 8 9 1],2042571,[5 6 7 1 9 3 0 4 8 2]
14,1161169,[3 1 8 4 7 5 0 2 9 6],2182215,[6 0 1 9 8 2 5 4 7 3],285835,[0 8 1 6 9 7 5 2 4 3],1395936,[3 8 5 9 6 7 0 1 2 4]
15,2202691,[6 0 7 1 3 8 9 2 5 4],90777,[0 3 4 1 2 7 6 8 9 5],985431,[2 7 4 5 6 9 3 1 8 0],2227517,[6 1 2 9 7 5 0 8 4 3]
16,1230601,[3 4 6 1 2 0 5 7 9 8],132853,[0 4 3 5 7 1 8 2 9 6],1626557,[4 5 2 8 0 7 1 9 6 3],1673534,[4 6 5 0 3 1 8 7 2 9]
17,2195234,[6 0 4 5 9 7 1 3 2 8],2287665,[6 2 7 9 1 8 3 4 5 0],1243109,[3 4 8 6 5 1 0 9 7 2],1837601,[5 0 6 7 2 3 8 9 4 1]
18,1819352,[5 0 1 9 8 3 4 6 2 7],1138482,[3 1 2 9 4 5 8 0 6 7],1026303,[2 8 4 6 3 5 7 1 9 0],2019150,[5 6 0 7 3 2 4 1 8 9]
19,1205055,[3 2 9 0 7 1 6 5 8 4],1782964,[4 9 1 7 3 0 2 8 5 6],2485479,[6 8 5 1 0 3 7 4 9 2],2141081,[5 9 0 7 6 2 4 8 3 1]
20,788025,[2 1 6 4 5 9 3 7 8 0],821734,[2 3 5 0 4 8 9 7 1 6],1010781,[2 8 0 5 9 1 7 4 6 3],2522758,[6 9 4 3 7 8 5 2 0 1]
21,1621225,[4 5 1 7 8 2 0 3 9 6],934810,[2 6 1 5 4 0 7 9 3 8],242323,[0 7 1 2 6 4 9 3 8 5],219701,[0 6 4 7 1 9 2 8 5 3]
22,2123080,[5 8 6 1 7 2 4 9 0 3],346429,[0 9 5 7 1 8 4 2 6 3],1211573,[3 4 0 5 8 6 1 9 7 2],1013396,[2 8 1 0 5 9 7 4 3 6]
23,1554078,[4 2 6 3 5 8 1 0 7 9],2269473,[6 2 3 4 0 5 7 8 9 1],2299461,[6 3 0 2 8 1 9 5 7 4],1893002,[5 1 9 6 2 0 3 7 4 8]
24,375095,[1 0 4 5 9 7 8 6 3 2],679851,[1 8 7 9 2 4 0 5 6 3],1687822,[4 6 8 9 1 0 7 5 2 3],1002974,[2 7 9 0 1 3 6 5 4 8]
25,1034334,[2 8 6 1 5 4 3 0 7 9],1668130,[4 6 2 9 8 0 3 7 1 5],1906330,[5 2 3 1 8 0 6 9 4 7],653416,[1 8 2 6 5 0 7 9 3 4]
26,535331,[1 5 3 2 7 0 6 9 8 4],43843,[0 2 1 7 9 4 8 3 6 5],1774465,[4 9 0 1 6 3 2 5 8 7],822035,[2 3 5 0 8 4 6 9 7 1]
27,1497099,[4 1 2 0 5 9 3 7 8 6],2416023,[6 5 9 2 4 3 7 1 8 0],1546081,[4 2 3 8 5 0 1 6 9 7],1735490,[4 8 0 3 5 6 1 7 2 9]
28,1817678,[5 0 1 7 6 3 8 4 2 9],1468926,[4 0 5 6 2 1 7 3 8 9],1937084,[5 3 0 4 6 2 9 7 1 8],2474257,[6 8 2 9 3 7 0 1 5 4]
29,85056,[0 3 1 9 2 8 4 5 6 7],117037,[0 3 9 2 6 4 7 1 8 5],1312672,[3 6 5 4 0 9 7 8 1 2],948809,[2 6 5 1 8 7 4 9 3 0]
30,167881,[0 5 2 4 3 1 6 7 9 8],1126646,[3 0 9 5 7 6 4 2 1 8],99112,[0 3 5 7 6 9 4 8 1 2],1546529,[4 2 3 8 9 6 5 7 1 0]
31,478015,[1 3 8 7 9 4 2 0 6 5],1559430,[4 2 7 3 9 1 5 0 6 8],299785,[0 8 4 5 3 2 1 6 9 7],637933,[1 7 8 5 0 2 6 3 9 4]
32,913669,[2 5 7 1 9 8 4 0 6 3],120998,[0 4 1 2 3 6 8 7 5 9],1630414,[4 5 3 6 2 8 9 7 0 1],1814762,[5 0 1 2 7 3 4 8 6 9]
33,1616120,[4 5 0 7 6 8 2 3 1 9],2073610,[5 7 3 4 0 1 6 9 2 8],2510888,[6 9 2 1 4 0 5 7 3 8],2162044,[5 9 4 8 7 0 1 6 2 3]
34,437027,[1 2 8 6 9 7 3 5 4 0],1976044,[5 4 0 1 7 2 3 9 6 8],1485528,[4 0 8 7 2 5 1 3 6 9],2178317,[6 0 1 3 5 8 2 9 7 4]
35,1433262,[3 9 5 2 6 8 1 0 4 7],1504622,[4 1 3 6 8 5 7 2 0 9],2181901,[6 0 1 9 4 5 7 2 8 3],1574737,[4 3 0 6 1 9 2 5 8 7]
36,582572,[1 6 4 7 0 8 9 3 2 5],1329859,[3 6 9 8 0 1 7 2 5 4],1288832,[3 5 9 7 0 2 4 6 1 8],1513110,[4 1 6 2 7 3 5 0 8 9]
37,92722,[0 3 4 5 8 7 2 9 1 6],2474524,[6 8 2 9 7 0 1 5 3 4],1519042,[4 1 7 3 8 6 2 9 0 5],616748,[1 7 3 4 6 5 9 2 0 8]
38,621967,[1 7 4 3 9 0 5 2 8 6],2210132,[6 0 8 4 5 7 9 2 1 3],598761,[1 6 8 7 4 5 2 3 9 0],1058754,[2 9 3 0 5 8 7 1 4 6]
39,446124,[1 3 0 6 7 8 5 2 4 9],469600,[1 3 7 2 4 5 8 9 0 6],1743514,[4 8 1 9 5 2 3 7 0 6],1106226,[3 0 5 6 4 7 9 1 2 8]
40,1671176,[4 6 3 7 0 5 2 8 1 9],2497933,[6 8 9 4 2 0 5 1 7 3],714670,[1 9 6 7 4 3 8 5 0 2],321554,[0 8 9 6 4 5 1 3 2 7]
41,941216,[2 6 3 8 1 5 4 7 0 9],539578,[1 5 4 0 6 7 3 9 2 8],205620,[0 6 1 8 5 4 7 2 3 9],315656,[0 8 7 5 3 4 2 6 1 9]
