10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 1 2 3 8 5 4 7 6 9],3025,[0 1 2 7 4 5 3 6 9 8],1680,[0 1 2 5 6 3 4 7 8 9],2147,[0 1 2 5 9 8 4 7 6 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,206828,[0 6 2 1 4 7 9 5 3 8],37113,[0 1 9 4 6 3 5 7 8 2],162690,[0 5 1 3 9 7 8 2 4 6],159733,[0 4 9 6 8 1 5 2 7 3]
2,86084,[0 3 2 1 7 5 9 6 4 8],147215,[0 4 7 2 5 8 9 6 3 1],171422,[0 5 3 1 2 7 8 6 4 9],220831,[0 6 4 8 7 2 3 1 9 5]
3,92648,[0 3 4 5 8 1 6 7 2 9],109332,[0 3 7 6 9 1 5 2 4 8],253850,[0 7 3 4 6 5 1 8 2 9],327349,[0 9 1 8 5 7 4 2 6 3]
4,254919,[0 7 3 6 1 4 8 5 9 2],118637,[0 3 9 5 7 6 1 8 4 2],320563,[0 8 9 5 2 3 7 1 6 4],337716,[0 9 4 1 2 5 7 3 6 8]
5,170749,[0 5 2 9 1 8 6 3 7 4],148781,[0 4 7 5 6 9 1 8 3 2],269430,[0 7 6 4 2 3 5 1 8 9],160394,[0 4 9 7 6 5 1 3 2 8]
6,76201,[0 2 9 1 8 3 4 5 7 6],6571,[0 1 3 5 2 8 9 4 7 6],206859,[0 6 2 1 4 9 3 7 8 5],354118,[0 9 7 2 6 8 5 4 1 3]
7,134750,[0 4 3 8 1 9 6 5 2 7],322333,[0 8 9 7 5 1 4 2 6 3],217801,[0 6 4 2 7 1 3 5 9 8],350847,[0 9 6 5 2 7 4 3 8 1]
8,43201,[0 2 1 7 3 4 5 6 9 8],187226,[0 5 7 2 1 4 3 8 6 9],210569,[0 6 2 8 4 7 5 9 3 1],232431,[0 6 8 1 7 9 4 3 5 2]
9,277180,[0 7 8 9 6 5 1 4 2 3],39278,[0 1 9 7 5 3 6 4 2 8],21891,[0 1 6 4 5 7 2 8 9 3],207875,[0 6 2 3 8 4 5 9 7 1]
10,69216,[0 2 7 8 1 9 3 4 5 6],355599,[0 9 7 4 8 2 5 3 6 1],350779,[0 9 6 5 2 1 8 3 7 4],160435,[0 4 9 7 6 8 5 1 3 2]
11,130472,[0 4 2 9 3 5 6 7 1 8],179226,[0 5 4 6 9 3 8 1 2 7],285087,[0 8 1 5 9 6 4 3 7 2],80568,[0 2 9 8 7 4 1 3 5 6]
12,250140,[0 7 2 6 4 5 8 1 3 9],137721,[0 4 5 3 2 8 6 7 9 1],324767,[0 9 1 5 2 4 8 7 6 3],323386,[0 9 1 3 2 8 5 7 4 6]
13,301786,[0 8 4 9 1 7 3 6 2 5],125771,[0 4 1 9 7 2 5 8 6 3],76006,[0 2 9 1 6 4 8 7 3 5],265488,[0 7 5 6 8 3 1 2 4 9]
14,326751,[0 9 1 7 6 8 4 3 5 2],346955,[0 9 5 7 8 2 3 6 4 1],344250,[0 9 5 3 1 7 8 2 4 6],61070,[0 2 6 1 8 9 5 4 3 7]
15,163486,[0 5 1 6 2 4 9 8 3 7],360736,[0 9 8 5 1 2 6 7 3 4],239803,[0 6 9 5 1 3 8 2 7 4],270584,[0 7 6 5 8 9 2 3 1 4]
16,196384,[0 5 8 9 6 3 4 7 1 2],249097,[0 7 2 4 9 8 1 3 6 5],99349,[0 3 5 7 9 8 4 1 6 2],341400,[0 9 4 7 2 1 3 5 6 8]
17,96462,[0 3 5 1 9 8 4 2 6 7],204187,[0 6 1 5 7 4 9 2 8 3],353724,[0 9 7 2 3 6 5 1 4 8],230695,[0 6 7 8 3 4 2 1 9 5]
18,79549,[0 2 9 7 4 8 5 1 6 3],64311,[0 2 6 8 3 9 5 4 7 1],161341,[0 5 1 2 3 7 8 4 9 6],350059,[0 9 6 4 2 1 8 3 7 5]
19,294292,[0 8 3 4 7 5 1 9 2 6],82696,[0 3 1 5 9 2 7 8 4 6],219291,[0 6 4 5 7 3 1 8 9 2],26882,[0 1 7 4 5 2 3 8 6 9]
20,282167,[0 7 9 8 6 2 5 4 3 1],18440,[0 1 5 7 6 8 3 4 2 9],52898,[0 2 4 6 5 9 1 7 3 8],50112,[0 2 3 9 6 7 1 4 5 8]
21,71629,[0 2 8 3 5 9 6 1 7 4],20801,[0 1 6 2 9 4 7 8 5 3],240833,[0 6 9 7 3 8 4 5 2 1],271420,[0 7 6 8 9 5 1 4 2 3]
22,241802,[0 6 9 8 7 1 2 4 3 5],59841,[0 2 5 9 1 7 4 6 8 3],246579,[0 7 1 9 4 8 2 5 6 3],11945,[0 1 4 5 7 6 8 9 3 2]
23,350782,[0 9 6 5 2 1 8 7 3 4],20098,[0 1 5 9 8 4 3 7 2 6],44169,[0 2 1 8 5 3 6 7 9 4],360260,[0 9 8 4 3 1 7 5 2 6]
24,97590,[0 3 5 4 7 2 6 1 8 9],17221,[0 1 5 4 9 6 7 2 8 3],247292,[0 7 2 1 5 8 9 4 3 6],192657,[0 5 8 2 6 4 3 7 9 1]
25,201314,[0 5 9 8 4 6 1 3 2 7],306419,[0 8 5 7 4 3 2 9 6 1],240083,[0 6 9 5 3 7 2 8 4 1],146700,[0 4 7 1 8 5 6 2 3 9]
26,89283,[0 3 2 8 1 4 5 7 9 6],174512,[0 5 3 7 4 2 6 8 1 9],292578,[0 8 3 1 5 2 9 4 6 7],175062,[0 5 3 8 1 9 4 2 6 7]
27,62388,[0 2 6 4 7 9 5 1 3 8],53642,[0 2 4 7 6 1 3 8 5 9],251498,[0 7 2 9 3 8 1 5 4 6],26150,[0 1 7 3 4 9 6 5 2 8]
28,116964,[0 3 9 2 5 7 6 1 4 8],354034,[0 9 7 2 6 3 4 8 1 5],136398,[0 4 5 1 6 8 3 2 7 9],51719,[0 2 4 3 8 9 7 6 5 1]
29,66508,[0 2 7 3 5 4 1 9 6 8],260351,[0 7 4 6 5 3 9 8 2 1],77310,[0 2 9 4 5 3 6 1 7 8],21872,[0 1 6 4 5 3 7 8 2 9]
30,214806,[0 6 3 7 4 1 5 2 8 9],265313,[0 7 5 6 3 9 4 8 2 1],158587,[0 4 9 5 2 6 8 1 7 3],48883,[0 2 3 7 9 4 8 1 6 5]
31,183297,[0 5 6 3 7 4 2 8 9 1],45003,[0 2 1 9 6 3 4 7 8 5],293984,[0 8 3 4 2 9 5 6 1 7],77282,[0 2 9 4 5 1 3 7 6 8]
32,283090,[0 8 1 3 4 2 6 9 5 7],126553,[0 4 2 1 8 7 3 5 9 6],194394,[0 5 8 4 9 7 6 1 2 3],20880,[0 1 6 3 2 4 5 7 8 9]
33,155925,[0 4 8 9 5 2 7 3 6 1],190442,[0 5 7 8 4 1 2 6 3 9],265338,[0 7 5 6 4 1 9 2 3 8],353430,[0 9 7 1 8 3 4 2 5 6]
34,80902,[0 3 1 2 6 4 9 8 5 7],222750,[0 6 5 2 4 3 7 1 8 9],74919,[0 2 8 9 1 4 6 5 7 3],58612,[0 2 5 7 4 6 1 9 3 8]
35,138867,[0 4 5 6 9 2 1 7 8 3],40585,[0 2 1 3 6 5 4 7 9 8],35573,[0 1 9 2 5 6 3 8 7 4],228354,[0 6 7 3 1 9 8 2 4 5]
36,342093,[0 9 4 8 1 6 7 3 5 2],307442,[0 8 6 1 2 3 4 7 5 9],293340,[0 8 3 2 5 6 7 1 4 9],216995,[0 6 4 1 5 3 7 9 8 2]
37,191494,[0 5 7 9 8 4 6 3 1 2],26432,[0 1 7 3 8 4 5 6 2 9],330026,[0 9 2 5 4 3 1 7 6 8],18169,[0 1 5 7 3 6 2 4 9 8]
38,231242,[0 6 7 9 2 1 3 5 4 8],66010,[0 2 7 1 8 3 5 9 4 6],24308,[0 1 6 8 7 4 9 3 2 5],244549,[0 7 1 5 6 9 4 2 8 3]
39,86519,[0 3 2 4 1 9 8 7 6 5],134648,[0 4 3 8 1 2 6 7 5 9],226400,[0 6 5 9 3 7 2 4 1 8],354363,[0 9 7 3 2 1 4 6 8 5]
40,25466,[0 1 7 2 5 4 3 8 6 9],344155,[0 9 5 2 8 7 6 1 4 3],78111,[0 2 9 5 4 8 6 3 7 1],213862,[0 6 3 5 1 2 9 8 4 7]
41,200349,[0 5 9 7 2 4 8 3 6 1],279073,[0 7 9 3 5 6 1 2 8 4],44431,[0 2 1 8 7 4 5 3 9 6],24513,[0 1 6 9 2 4 5 7 8 3]
42,184688,[0 5 6 7 4 1 3 8 2 9],10403,[0 1 4 2 6 8 5 9 7 3],331568,[0 9 2 7 5 1 4 6 3 8],318399,[0 8 9 2 3 4 6 5 7 1]
