100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 1 2 3 8 5 4 7 6 9],3025,[0 1 2 7 4 5 3 6 9 8],1680,[0 1 2 5 6 3 4 7 8 9],2147,[0 1 2 5 9 8 4 7 6 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1220527,[3 4 2 1 5 0 7 6 9 8],1812402,[4 9 8 5 1 2 7 0 3 6],2524415,[6 9 4 8 0 5 7 3 2 1],1616152,[4 5 0 7 6 9 3 8 1 2]
2,3157138,[8 6 2 3 9 4 1 7 0 5],3496020,[9 5 6 4 3 2 7 0 1 8],2500183,[6 9 0 1 4 8 3 2 7 5],1707972,[4 7 2 9 1 0 6 3 5 8]
3,699621,[1 9 3 7 6 0 8 4 5 2],999465,[2 7 8 3 0 9 4 5 6 1],2381980,[6 5 0 7 2 9 1 8 3 4],2076858,[5 7 4 0 6 1 9 2 3 8]
4,3531383,[9 6 4 5 7 0 8 3 2 1],481960,[1 3 9 6 4 2 7 8 0 5],2583132,[7 1 0 5 8 2 6 3 4 9],2510481,[6 9 2 0 7 5 3 4 8 1]
5,1964226,[5 3 7 8 0 4 9 1 2 6],2453679,[6 7 8 5 9 1 3 2 4 0],2458763,[6 7 9 5 8 3 1 4 2 0],1045650,[2 8 9 4 1 6 7 0 3 5]
6,1287326,[3 5 9 2 8 6 4 1 0 7],1571378,[4 2 9 7 3 8 0 5 1 6],706013,[1 9 5 0 6 4 2 8 7 3],511374,[1 4 7 5 2 6 3 0 8 9]
7,2895484,[7 9 6 3 4 0 1 8 2 5],1363538,[3 7 8 4 6 9 0 2 1 5],1432079,[3 9 5 0 8 7 6 4 2 1],797493,[2 1 8 3 6 7 9 4 5 0]
8,680140,[1 8 7 9 4 6 0 5 2 3],3204982,[8 7 3 9 2 0 6 5 1 4],566184,[1 6 0 4 5 3 2 7 8 9],478761,[1 3 8 9 7 5 2 4 6 0]
9,1639667,[4 5 7 2 1 9 3 8 6 0],3254564,[8 9 5 6 1 2 7 3 0 4],2561359,[7 0 5 2 4 8 3 1 9 6],2037658,[5 6 4 2 0 7 3 9 1 8]
10,3317410,[9 1 3 2 6 0 5 8 4 7],482516,[1 3 9 7 0 8 6 4 2 5],197521,[0 5 9 2 4 1 3 6 8 7],285549,[0 8 1 6 5 4 9 3 7 2]
11,2055518,[5 6 9 7 8 1 3 2 0 4],2361650,[6 4 5 7 0 3 1 8 2 9],2093725,[5 7 9 2 8 4 3 0 6 1],622366,[1 7 4 5 3 2 9 8 0 6]
12,2925754,[8 0 5 4 6 2 3 9 1 7],2722230,[7 4 5 0 9 2 3 1 6 8],451338,[1 3 2 6 9 0 8 4 5 7],2814869,[7 6 8 3 4 1 0 9 5 2]
13,633303,[1 7 6 5 4 3 8 2 9 0],3420170,[9 3 7 5 1 4 0 6 2 8],1860244,[5 1 2 0 8 3 4 9 6 7],2936873,[8 0 7 5 9 6 3 4 2 1]
14,3283364,[9 0 4 5 2 3 8 6 1 7],217393,[0 6 4 1 9 7 2 3 8 5],2068461,[5 7 2 3 9 0 8 4 6 1],2741581,[7 4 9 8 5 2 3 0 6 1]
15,3501627,[9 5 7 6 2 1 0 4 8 3],2244215,[6 1 7 2 9 5 8 4 3 0],2172183,[5 9 7 8 6 2 3 1 4 0],2379694,[6 5 0 2 1 8 9 7 3 4]
16,1342573,[3 7 2 4 8 0 6 1 9 5],1313857,[3 6 5 7 8 9 0 1 4 2],2737753,[7 4 9 1 3 6 0 2 8 5],1375317,[3 8 0 9 1 7 6 4 5 2]
17,1289973,[3 5 9 8 4 6 7 1 2 0],3620665,[9 8 6 2 5 1 0 3 7 4],3472177,[9 5 0 8 3 7 1 2 6 4],1080995,[2 9 7 4 3 1 5 8 6 0]
18,2089035,[5 7 8 3 2 6 0 4 9 1],2774110,[7 5 8 2 9 3 6 4 0 1],421411,[1 2 5 7 3 8 9 0 6 4],1257684,[3 5 1 6 8 7 4 0 2 9]
19,3493851,[9 5 6 1 4 3 0 7 8 2],2601948,[7 1 5 2 8 9 4 0 3 6],1850973,[5 0 9 2 7 6 8 3 4 1],1789558,[4 9 3 0 5 8 7 6 1 2]
20,1209260,[3 2 9 8 5 0 7 4 1 6],1071486,[2 9 5 6 1 0 4 3 7 8],2157034,[5 9 3 8 7 1 2 6 0 4],3057103,[8 3 7 4 9 6 1 0 5 2]
21,3163405,[8 6 3 5 4 7 2 0 9 1],1820740,[5 0 2 3 8 9 1 7 4 6],489404,[1 4 2 0 8 5 9 6 3 7],1024572,[2 8 4 3 0 1 7 5 6 9]
22,2586741,[7 1 2 3 8 0 9 5 6 4],1413785,[3 9 0 5 6 4 7 8 2 1],79080,[0 2 9 6 8 1 3 4 5 7],1928118,[5 2 8 4 9 6 1 0 3 7]
23,158331,[0 4 9 3 8 5 1 6 7 2],2863960,[7 9 0 2 6 3 5 8 1 4],253836,[0 7 3 4 6 2 8 1 5 9],3597690,[9 8 1 6 5 4 7 0 2 3]
24,3072088,[8 4 1 5 7 6 3 9 0 2],2543984,[7 0 1 8 3 9 4 5 2 6],3258869,[8 9 6 4 1 2 0 7 5 3],54890,[0 2 4 9 3 6 1 7 5 8]
25,2823016,[7 8 0 1 9 2 5 6 3 4],2731633,[7 4 6 9 8 3 0 1 5 2],1530036,[4 1 9 6 0 3 7 2 5 8],2024900,[5 6 1 8 3 0 9 4 2 7]
26,2808473,[7 6 5 1 4 9 3 8 2 0],213298,[0 6 3 4 2 7 5 9 1 8],2762246,[7 5 4 0 3 8 6 2 1 9],825601,[2 3 5 8 7 0 1 4 9 6]
27,470457,[1 3 7 4 5 6 2 8 9 0],3191614,[8 7 1 2 6 5 9 4 0 3],1530482,[4 1 9 6 7 0 2 5 3 8],1439202,[3 9 6 4 8 1 7 0 2 5]
28,2501403,[6 9 0 3 2 1 4 7 8 5],1022795,[2 8 3 9 5 1 4 7 6 0],104066,[0 3 6 7 5 2 1 8 4 9],263358,[0 7 5 2 8 6 3 1 4 9]
29,2069140,[5 7 2 4 8 9 0 6 1 3],397522,[1 0 8 9 2 6 4 7 3 5],3101536,[8 4 9 2 6 0 5 7 1 3],1812562,[4 9 8 5 2 6 1 7 0 3]
30,340653,[0 9 4 6 1 7 8 3 5 2],2905007,[8 0 1 4 7 3 9 6 5 2],3420559,[9 3 7 5 6 4 1 0 8 2],702699,[1 9 4 3 8 7 0 5 6 2]
31,1886550,[5 1 8 3 2 4 6 0 7 9],2759830,[7 5 3 6 0 4 9 8 1 2],2844820,[7 8 4 3 0 9 1 6 2 5],3256621,[8 9 6 1 0 4 5 2 7 3]
32,3395706,[9 3 1 7 2 5 8 0 4 6],2142945,[5 9 1 2 3 8 4 6 7 0],2803158,[7 6 4 1 2 8 3 0 5 9],2707658,[7 4 1 2 6 9 0 5 3 8]
33,2406114,[6 5 7 2 8 9 4 0 1 3],1825680,[5 0 3 2 8 1 4 6 7 9],2477769,[6 8 3 5 2 0 4 7 9 1],3219420,[8 7 6 5 2 3 4 0 1 9]
34,1861189,[5 1 2 3 9 8 6 0 7 4],2146452,[5 9 1 8 2 0 6 3 4 7],1751596,[4 8 3 5 7 6 0 9 1 2],2919377,[8 0 4 2 7 1 6 9 5 3]
35,3315384,[9 1 2 7 6 3 0 4 5 8],2307371,[6 3 1 8 7 0 4 9 5 2],415052,[1 2 4 5 6 8 9 3 0 7],324162,[0 9 1 4 3 5 8 2 6 7]
36,1884400,[5 1 7 9 2 3 6 8 0 4],673119,[1 8 6 4 9 2 5 3 7 0],1196814,[3 2 7 5 1 6 4 0 8 9],2866452,[7 9 0 6 2 1 5 3 4 8]
37,1192804,[3 2 6 7 8 0 1 9 4 5],2132347,[5 8 9 0 4 3 7 1 6 2],517631,[1 4 8 6 9 3 7 5 2 0],2980957,[8 1 9 4 2 3 6 0 7 5]
38,1217763,[3 4 1 7 5 0 2 8 9 6],3549056,[9 7 0 2 3 5 4 6 1 8],1543035,[4 2 3 1 0 8 5 7 9 6],1365337,[3 7 8 9 1 6 0 2 5 4]
39,1925397,[5 2 8 0 1 9 7 4 6 3],640812,[1 7 9 2 0 3 6 4 5 8],3556086,[9 7 1 5 0 2 4 3 6 8],2418915,[6 5 9 8 3 4 0 2 7 1]
40,142198,[0 4 6 2 5 9 8 7 1 3],754488,[2 0 7 6 9 4 1 3 5 8],1421371,[3 9 2 0 1 7 8 4 6 5],468668,[1 3 6 9 8 4 7 2 0 5]
41,1163567,[3 1 8 9 0 4 7 6 5 2],2624636,[7 2 0 8 3 9 6 4 1 5],1391173,[3 8 5 0 2 1 7 4 9 6],755706,[2 0 7 9 5 4 8 1 3 6]
