100%,Optima 1, Optima [1]
 ,1,[0 1 2 3 4 6 5]
------------------------------------------------
#,Optima 1, Optima [1]
1,768,[1 0 4 2 3 5 6]
2,1457,[2 0 1 5 6 4 3]
3,4783,[6 3 5 1 0 4 2]
4,2057,[2 6 0 4 5 3 1]
5,3402,[4 5 1 6 0 2 3]
6,2740,[3 5 6 0 4 1 2]
7,1892,[2 4 5 6 1 0 3]
8,2096,[2 6 3 1 4 0 5]
9,4458,[6 1 0 5 2 3 4]
10,58,[0 1 4 3 6 2 5]
11,3416,[4 5 2 1 3 0 6]
12,1471,[2 0 3 4 1 6 5]
13,2928,[4 0 3 1 2 5 6]
14,3691,[5 0 4 6 1 3 2]
15,2186,[3 0 2 1 5 4 6]
16,1893,[2 4 5 6 1 3 0]
17,3584,[4 6 5 1 2 0 3]
18,2280,[3 1 0 2 4 5 6]
19,2433,[3 2 1 4 5 6 0]
20,758,[1 0 3 5 4 2 6]
21,534,[0 5 3 2 1 4 6]
22,2143,[2 6 5 1 0 4 3]
23,3065,[4 1 3 5 6 2 0]
24,558,[0 5 4 2 1 3 6]
25,1465,[2 0 3 1 4 6 5]
26,3119,[4 1 6 5 3 2 0]
27,1742,[2 3 4 5 1 0 6]
28,3323,[4 3 5 1 6 2 0]
29,841,[1 2 0 3 4 6 5]
30,3091,[4 1 5 6 0 3 2]
31,2050,[2 6 0 3 5 1 4]
32,3469,[4 5 6 2 0 3 1]
33,4553,[6 1 5 3 4 2 0]
34,1229,[1 5 2 0 6 4 3]
35,2864,[3 6 5 1 2 0 4]
36,3899,[5 2 3 1 6 4 0]
37,4657,[6 2 5 0 1 4 3]
38,3121,[4 2 0 1 3 6 5]
39,2816,[3 6 2 1 4 0 5]
40,2087,[2 6 1 5 4 3 0]
41,1557,[2 0 6 5 3 4 1]
42,2700,[3 5 2 4 0 1 6]
43,4180,[5 4 6 0 3 1 2]
44,1244,[1 5 2 6 3 0 4]
45,2448,[3 2 4 0 1 5 6]
46,2745,[3 5 6 1 2 4 0]
47,2981,[4 0 6 1 5 3 2]
48,2453,[3 2 4 0 6 5 1]
49,118,[0 1 6 5 4 2 3]
50,3683,[5 0 4 2 6 3 1]
51,1677,[2 1 6 5 3 4 0]
52,1443,[2 0 1 3 5 6 4]
53,2632,[3 4 6 2 5 0 1]
54,2532,[3 4 0 5 1 2 6]
55,1588,[2 1 3 0 6 4 5]
56,3665,[5 0 3 4 6 2 1]
57,3432,[4 5 3 0 1 2 6]
58,4225,[5 6 1 0 2 4 3]
59,592,[0 5 6 3 4 1 2]
60,282,[0 3 2 6 1 4 5]
61,997,[1 3 2 5 0 6 4]
62,3610,[5 0 1 3 6 2 4]
63,1255,[1 5 3 2 0 6 4]
64,1367,[1 6 2 5 4 3 0]
65,3048,[4 1 3 0 2 5 6]
66,4988,[6 5 2 4 1 0 3]
67,1958,[2 5 1 4 3 0 6]
68,1698,[2 3 0 6 1 4 5]
69,826,[1 0 6 3 5 2 4]
70,3328,[4 3 5 2 6 0 1]
71,2277,[3 0 6 5 2 4 1]
72,463,[0 4 6 2 1 5 3]
73,4505,[6 1 3 4 5 2 0]
74,346,[0 3 6 2 5 1 4]
75,4242,[5 6 1 4 0 2 3]
76,2875,[3 6 5 4 0 2 1]
77,3003,[4 1 0 2 5 6 3]
78,1820,[2 4 0 6 3 1 5]
79,3151,[4 2 1 3 0 6 5]
80,3760,[5 1 2 4 6 0 3]
81,137,[0 2 1 5 6 4 3]
82,4329,[6 0 1 3 4 5 2]
83,3205,[4 2 5 3 0 6 1]
84,2199,[3 0 2 5 4 6 1]
85,1413,[1 6 4 5 2 3 0]
86,607,[0 6 1 3 2 5 4]
87,836,[1 0 6 5 3 2 4]
88,2020,[2 5 6 0 4 1 3]
89,4682,[6 3 0 1 4 2 5]
90,4239,[5 6 1 3 2 4 0]
91,467,[0 4 6 2 5 3 1]
92,431,[0 4 3 6 5 2 1]
93,2528,[3 4 0 2 5 1 6]
94,2533,[3 4 0 5 1 6 2]
95,1089,[1 4 0 3 5 6 2]
96,2988,[4 0 6 3 1 2 5]
97,1444,[2 0 1 3 6 4 5]
98,2813,[3 6 2 0 5 4 1]
99,3237,[4 2 6 5 1 3 0]
100,2500,[3 2 6 0 5 1 4]
1,786,[1 0 4 6 2 3 5]
2,1283,[1 5 4 2 6 3 0]
3,1627,[2 1 4 6 0 5 3]
4,1831,[2 4 1 3 0 6 5]
5,1405,[1 6 4 3 0 5 2]
6,1214,[1 5 0 4 3 2 6]
7,1978,[2 5 3 1 6 0 4]
8,2285,[3 1 0 2 6 5 4]
9,3331,[4 3 5 6 0 2 1]
10,3754,[5 1 2 3 6 0 4]
11,661,[0 6 3 4 1 5 2]
12,1611,[2 1 4 0 5 6 3]
13,1074,[1 3 6 5 0 2 4]
14,1872,[2 4 5 0 1 3 6]
15,145,[0 2 3 1 4 6 5]
16,1708,[2 3 1 0 6 4 5]
17,405,[0 4 2 6 3 5 1]
18,4097,[5 4 0 3 6 2 1]
19,4994,[6 5 3 0 2 1 4]
20,2440,[3 2 1 5 6 0 4]
21,4151,[5 4 2 6 3 1 0]
22,4979,[6 5 2 1 4 3 0]
23,2057,[2 6 0 4 5 3 1]
24,1627,[2 1 4 6 0 5 3]
25,2861,[3 6 5 0 4 2 1]
26,1845,[2 4 1 6 3 5 0]
27,2975,[4 0 5 6 3 2 1]
28,1972,[2 5 3 0 6 1 4]
29,4298,[5 6 4 0 2 1 3]
30,1253,[1 5 3 0 6 4 2]
31,1430,[1 6 5 3 2 0 4]
32,190,[0 2 4 6 5 1 3]
33,3623,[5 0 1 6 4 3 2]
34,650,[0 6 3 1 4 2 5]
35,2973,[4 0 5 6 2 3 1]
36,3895,[5 2 3 1 0 6 4]
37,2702,[3 5 2 4 1 0 6]
38,1373,[1 6 3 0 5 4 2]
39,793,[1 0 5 2 3 6 4]
40,199,[0 2 5 3 1 6 4]
41,3670,[5 0 3 6 4 1 2]
42,3591,[4 6 5 2 1 3 0]
43,3729,[5 1 0 3 4 6 2]
44,927,[1 2 5 4 3 6 0]
45,3577,[4 6 5 0 1 3 2]
46,3896,[5 2 3 1 4 0 6]
47,4398,[6 0 4 2 1 3 5]
48,655,[0 6 3 2 1 5 4]
49,2387,[3 1 6 2 5 4 0]
50,4421,[6 0 5 1 4 3 2]
51,2583,[3 4 2 5 1 6 0]
52,2388,[3 1 6 4 0 2 5]
53,2860,[3 6 5 0 4 1 2]
54,797,[1 0 5 2 6 4 3]
55,3390,[4 5 1 2 0 3 6]
56,848,[1 2 0 4 5 3 6]
57,4266,[5 6 2 4 0 1 3]
58,5040,[0 1 2 3 4 5 6]
59,4011,[5 3 2 0 4 6 1]
60,4601,[6 2 1 4 5 3 0]
61,3280,[4 3 1 5 6 0 2]
62,5,[0 1 2 3 6 5 4]
63,3028,[4 1 2 0 6 3 5]
64,2077,[2 6 1 4 0 5 3]
65,2323,[3 1 2 6 0 5 4]
66,471,[0 4 6 3 2 5 1]
67,3028,[4 1 2 0 6 3 5]
68,423,[0 4 3 5 2 6 1]
69,3940,[5 2 6 0 4 1 3]
70,1290,[1 5 4 6 0 2 3]
71,4047,[5 3 4 2 1 6 0]
72,4072,[5 3 6 2 4 0 1]
73,3304,[4 3 2 5 6 0 1]
74,4794,[6 3 5 4 0 1 2]
75,3811,[5 1 4 6 0 3 2]
76,559,[0 5 4 2 1 6 3]
77,1249,[1 5 3 0 2 6 4]
78,1129,[1 4 3 0 2 6 5]
79,3090,[4 1 5 6 0 2 3]
80,4005,[5 3 1 6 2 4 0]
81,2488,[3 2 5 4 6 0 1]
82,2319,[3 1 2 5 4 6 0]
83,4625,[6 2 3 4 5 1 0]
84,4917,[6 4 5 3 1 2 0]
85,3711,[5 0 6 3 2 4 1]
86,4082,[5 4 0 1 3 2 6]
87,2370,[3 1 5 6 0 2 4]
88,2826,[3 6 2 5 0 1 4]
89,2301,[3 1 0 6 4 5 2]
90,2124,[2 6 4 3 0 1 5]
91,4669,[6 2 5 3 0 4 1]
92,2702,[3 5 2 4 1 0 6]
93,2403,[3 2 0 1 5 6 4]
94,1233,[1 5 2 3 4 6 0]
95,1959,[2 5 1 4 3 6 0]
96,3664,[5 0 3 4 6 1 2]
97,563,[0 5 4 2 6 3 1]
98,1651,[2 1 5 6 0 4 3]
