40%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1199,[1 4 6 5 3 2 0],2719,[3 5 4 1 0 6 2],1491,[2 0 4 1 5 6 3],2888,[4 0 1 3 5 2 6]
2,1283,[1 5 4 2 6 3 0],2629,[3 4 6 2 0 5 1],2750,[3 5 6 2 1 0 4],2544,[3 4 1 0 2 5 6]
3,779,[1 0 4 3 6 5 2],3762,[5 1 2 6 0 3 4],2056,[2 6 0 4 5 1 3],2864,[3 6 5 1 2 0 4]
4,2192,[3 0 2 4 5 1 6],2601,[3 4 5 1 2 6 0],1557,[2 0 6 5 3 4 1],2431,[3 2 1 4 0 6 5]
5,2134,[2 6 4 5 3 0 1],2431,[3 2 1 4 0 6 5],2272,[3 0 6 4 5 1 2],2147,[2 6 5 1 4 3 0]
6,2203,[3 0 2 6 1 5 4],2973,[4 0 5 6 2 3 1],1727,[2 3 1 6 5 4 0],2546,[3 4 1 0 5 2 6]
7,1874,[2 4 5 0 3 1 6],2887,[4 0 1 3 2 6 5],1428,[1 6 5 3 0 2 4],1680,[2 3 0 1 4 5 6]
8,1642,[2 1 5 3 6 0 4],3438,[4 5 3 1 0 2 6],2385,[3 1 6 2 4 5 0],2256,[3 0 6 1 2 4 5]
9,1696,[2 3 0 5 6 1 4],2523,[3 4 0 1 5 6 2],1185,[1 4 6 2 3 5 0],2635,[3 4 6 5 0 2 1]
10,1819,[2 4 0 6 1 5 3],1818,[2 4 0 6 1 3 5],2363,[3 1 5 2 6 4 0],1847,[2 4 1 6 5 3 0]
11,1555,[2 0 6 5 1 4 3],2420,[3 2 0 6 4 1 5],3002,[4 1 0 2 5 3 6],1573,[2 1 0 5 3 6 4]
12,798,[1 0 5 3 2 4 6],3555,[4 6 3 0 2 5 1],1060,[1 3 6 0 5 2 4],3109,[4 1 6 3 0 5 2]
13,2008,[2 5 4 3 6 0 1],1882,[2 4 5 1 6 0 3],1080,[1 4 0 2 3 5 6],1842,[2 4 1 6 0 3 5]
14,1558,[2 0 6 5 4 1 3],2585,[3 4 2 5 6 1 0],2090,[2 6 3 0 4 1 5],2563,[3 4 1 6 0 5 2]
15,316,[0 3 5 1 6 2 4],2667,[3 5 1 0 4 6 2],2915,[4 0 2 3 6 5 1],2880,[4 0 1 2 3 5 6]
16,842,[1 2 0 3 5 4 6],2117,[2 6 4 0 5 3 1],1042,[1 3 5 2 6 0 4],2722,[3 5 4 1 6 0 2]
17,984,[1 3 2 0 4 5 6],2427,[3 2 1 0 5 6 4],2107,[2 6 3 5 0 4 1],1517,[2 0 5 1 6 4 3]
