70%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,3147,[4 2 1 0 5 6 3],3926,[5 2 4 3 1 0 6],3927,[5 2 4 3 1 6 0],2388,[3 1 6 4 0 2 5]
2,2573,[3 4 2 0 6 5 1],3544,[4 6 2 3 5 0 1],2007,[2 5 4 3 1 6 0],1168,[1 4 5 3 6 0 2]
3,3060,[4 1 3 5 0 2 6],1973,[2 5 3 0 6 4 1],1312,[1 5 6 3 4 0 2],3975,[5 3 0 4 2 6 1]
4,1454,[2 0 1 5 4 3 6],2391,[3 1 6 4 2 5 0],3929,[5 2 4 3 6 1 0],3442,[4 5 3 1 6 0 2]
5,1986,[2 5 3 6 0 1 4],1816,[2 4 0 5 6 1 3],641,[0 6 2 4 5 3 1],2818,[3 6 2 1 5 0 4]
6,503,[0 5 1 6 4 3 2],1579,[2 1 0 6 3 5 4],666,[0 6 3 5 1 2 4],1422,[1 6 5 2 0 3 4]
7,2489,[3 2 5 4 6 1 0],1584,[2 1 3 0 4 5 6],2690,[3 5 2 0 4 1 6],1111,[1 4 2 3 0 6 5]
8,3102,[4 1 6 2 0 3 5],988,[1 3 2 0 6 4 5],1807,[2 4 0 3 1 6 5],1995,[2 5 4 0 3 6 1]
9,274,[0 3 2 4 6 1 5],2846,[3 6 4 2 1 0 5],3315,[4 3 5 0 2 6 1],3265,[4 3 1 0 2 6 5]
10,2178,[3 0 1 6 2 4 5],2650,[3 5 0 2 6 1 4],784,[1 0 4 5 6 2 3],4115,[5 4 1 2 6 3 0]
11,3092,[4 1 5 6 2 0 3],4184,[5 4 6 1 2 0 3],3246,[4 3 0 2 1 5 6],2740,[3 5 6 0 4 1 2]
12,753,[1 0 3 4 5 6 2],1209,[1 5 0 3 4 6 2],3288,[4 3 2 0 1 5 6],4092,[5 4 0 3 1 2 6]
13,1768,[2 3 5 4 6 0 1],2986,[4 0 6 2 5 1 3],3354,[4 3 6 5 0 1 2],894,[1 2 4 3 0 5 6]
14,272,[0 3 2 4 5 1 6],1507,[2 0 4 6 1 5 3],621,[0 6 1 5 3 4 2],985,[1 3 2 0 4 6 5]
15,3451,[4 5 3 6 0 2 1],1142,[1 4 3 5 2 0 6],3437,[4 5 3 0 6 2 1],2712,[3 5 4 0 1 2 6]
16,2614,[3 4 5 6 2 0 1],1907,[2 4 6 1 5 3 0],2940,[4 0 3 5 1 2 6],1718,[2 3 1 5 4 0 6]
17,3030,[4 1 2 3 0 5 6],2722,[3 5 4 1 6 0 2],1562,[2 1 0 3 5 4 6],1264,[1 5 3 4 6 0 2]
