100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,4703,[6 3 0 5 4 2 1],731,[1 0 2 4 6 5 3],388,[0 4 2 1 6 3 5],2109,[2 6 3 5 1 4 0]
2,1313,[1 5 6 3 4 2 0],450,[0 4 5 6 1 2 3],4192,[5 4 6 2 3 0 1],1070,[1 3 6 4 2 0 5]
3,4951,[6 5 1 2 0 4 3],1205,[1 5 0 2 6 4 3],4944,[6 5 1 0 2 3 4],3029,[4 1 2 0 6 5 3]
4,4996,[6 5 3 0 4 1 2],2013,[2 5 4 6 1 3 0],4352,[6 0 2 3 4 1 5],4912,[6 4 5 2 3 0 1]
5,4887,[6 4 3 2 1 5 0],1840,[2 4 1 5 6 0 3],3763,[5 1 2 6 0 4 3],4459,[6 1 0 5 2 4 3]
6,862,[1 2 0 6 5 3 4],8,[0 1 2 4 5 3 6],463,[0 4 6 2 1 5 3],4856,[6 4 2 1 3 0 5]
7,10,[0 1 2 4 6 3 5],3216,[4 2 6 0 1 3 5],3706,[5 0 6 2 4 1 3],3420,[4 5 2 3 0 1 6]
8,2507,[3 2 6 1 5 4 0],2404,[3 2 0 1 6 4 5],1731,[2 3 4 0 5 6 1],2528,[3 4 0 2 5 1 6]
9,1128,[1 4 3 0 2 5 6],484,[0 5 1 2 6 3 4],3265,[4 3 1 0 2 6 5],4548,[6 1 5 3 0 2 4]
10,1085,[1 4 0 2 6 5 3],1131,[1 4 3 0 5 6 2],3152,[4 2 1 3 5 0 6],2319,[3 1 2 5 4 6 0]
11,1301,[1 5 6 0 4 3 2],3280,[4 3 1 5 6 0 2],4209,[5 6 0 2 3 4 1],3933,[5 2 4 6 1 3 0]
12,3795,[5 1 4 0 3 6 2],4701,[6 3 0 5 2 4 1],1551,[2 0 6 4 3 5 1],842,[1 2 0 3 5 4 6]
13,4580,[6 2 0 5 3 1 4],583,[0 5 6 2 1 4 3],4480,[6 1 2 4 5 0 3],2700,[3 5 2 4 0 1 6]
14,4395,[6 0 4 1 3 5 2],4868,[6 4 2 5 1 0 3],2730,[3 5 4 6 0 1 2],3630,[5 0 2 3 1 4 6]
15,3271,[4 3 1 2 0 6 5],3281,[4 3 1 5 6 2 0],2651,[3 5 0 2 6 4 1],4922,[6 5 0 1 3 2 4]
16,159,[0 2 3 5 4 6 1],3008,[4 1 0 3 5 2 6],866,[1 2 3 0 5 4 6],1911,[2 4 6 3 1 5 0]
17,2431,[3 2 1 4 0 6 5],136,[0 2 1 5 6 3 4],1386,[1 6 3 5 0 2 4],1294,[1 5 4 6 3 0 2]
