99%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,3006021,[8 2 5 4 0 1 9 6 7 3],3287944,[9 0 5 3 6 4 7 8 1 2],1774195,[4 9 0 1 2 8 7 3 6 5],143274,[0 4 6 3 9 8 7 1 2 5],1813915,[4 9 8 7 1 6 5 0 3 2],2593912,[7 1 3 6 5 9 4 8 0 2],1681316,[4 6 7 5 0 9 8 2 1 3],1973780,[5 3 9 6 2 0 8 4 1 7],1261570,[3 5 2 4 1 0 7 9 6 8],1613212,[4 5 0 1 7 6 2 9 3 8],3028583,[8 3 0 9 4 1 7 6 5 2],374151,[1 0 4 3 7 9 6 5 8 2],200863,[0 5 9 7 8 6 2 1 4 3],2579231,[7 0 9 6 2 4 8 5 3 1],386190,[1 0 6 7 4 3 5 2 8 9],1171223,[3 2 0 5 8 1 9 7 6 4],3370658,[9 2 5 7 3 8 0 4 1 6],2648986,[7 2 6 5 0 9 3 8 1 4],685940,[1 9 0 2 7 3 8 5 4 6],1676645,[4 6 5 7 8 0 1 9 3 2]
3,371413,[1 0 3 7 9 2 6 4 8 5],210190,[0 6 2 7 9 4 8 5 1 3],384151,[1 0 6 3 7 4 5 2 9 8],2637989,[7 2 4 3 9 1 0 8 6 5],1764965,[4 8 7 1 3 0 2 9 6 5],3255550,[8 9 5 7 3 2 6 4 0 1],2609849,[7 1 6 8 5 4 3 9 2 0],1298560,[3 6 1 7 5 2 8 9 0 4],2190615,[6 0 3 7 5 1 8 4 9 2],2976095,[8 1 7 4 3 6 9 5 2 0],1098975,[3 0 4 1 6 2 8 7 9 5],2776249,[7 5 8 6 9 2 0 1 4 3],1697452,[4 7 0 8 5 3 1 9 2 6],426324,[1 2 6 7 0 8 5 3 4 9],3015076,[8 2 7 1 5 6 0 9 3 4],1528315,[4 1 9 2 6 8 7 0 5 3],3329437,[9 1 5 6 2 3 7 0 8 4],1532541,[4 2 0 1 7 3 9 6 8 5],1711822,[4 7 3 6 5 0 9 8 1 2],1620796,[4 5 1 7 0 8 2 9 3 6]
5,749855,[2 0 6 8 4 7 9 5 3 1],1269490,[3 5 4 9 1 0 6 8 2 7],2416024,[6 5 9 2 4 3 7 8 0 1],2679952,[7 3 4 8 0 9 5 6 1 2],967451,[2 6 9 8 5 0 3 7 4 1],2975716,[8 1 7 3 9 5 0 6 2 4],2268926,[6 2 3 1 4 8 7 5 0 9],3341667,[9 1 8 0 3 4 2 6 7 5],1275042,[3 5 6 9 8 1 7 0 2 4],3558552,[9 7 2 0 4 6 1 3 5 8],572900,[1 6 2 7 8 0 9 4 3 5],2649262,[7 2 6 5 4 0 9 8 1 3],1892587,[5 1 9 4 6 3 8 0 7 2],1482890,[4 0 8 2 6 5 1 7 3 9],2956517,[8 1 3 6 2 7 0 9 5 4],3128016,[8 5 4 6 2 9 0 1 3 7],307279,[0 8 5 9 6 4 2 1 7 3],1527866,[4 1 9 2 0 5 3 7 6 8],3143932,[8 5 9 6 3 2 0 7 1 4],92627,[0 3 4 5 7 9 2 8 6 1]
7,1478151,[4 0 7 2 9 8 5 3 6 1],3568965,[9 7 4 0 8 2 6 3 5 1],2361199,[6 4 5 3 2 8 1 0 9 7],139131,[0 4 5 7 2 6 1 8 9 3],327074,[0 9 1 8 3 6 2 5 4 7],312180,[0 8 6 9 4 3 5 1 2 7],3117642,[8 5 2 6 0 3 9 1 4 7],1226166,[3 4 5 2 0 1 7 6 8 9],25535,[0 1 7 2 5 8 9 6 4 3],2756028,[7 5 2 8 6 9 3 0 1 4],2751350,[7 5 1 9 2 8 4 3 0 6],822911,[2 3 5 1 9 6 8 7 4 0],1045404,[2 8 9 3 7 5 4 0 1 6],3024289,[8 3 0 1 5 6 2 4 9 7],165968,[0 5 1 9 6 2 4 7 3 8],2260558,[6 2 0 5 7 9 8 4 1 3],2322599,[6 3 5 8 7 9 4 2 1 0],2693160,[7 3 8 2 5 0 1 4 6 9],604511,[1 6 9 8 4 3 7 5 2 0],3106935,[8 5 0 4 2 1 7 6 9 3]
9,78193,[0 2 9 5 6 7 1 3 8 4],3268688,[9 0 1 5 8 2 4 6 3 7],3221116,[8 7 9 0 5 4 1 6 2 3],1386717,[3 8 4 0 9 7 6 2 5 1],983854,[2 7 4 1 5 8 9 6 0 3],22561,[0 1 6 5 4 2 3 7 9 8],1533483,[4 2 0 3 9 1 5 7 8 6],2339125,[6 4 0 1 8 7 5 2 9 3],1993558,[5 4 3 6 8 9 7 2 0 1],1519786,[4 1 7 5 8 9 2 6 0 3],258098,[0 7 4 2 5 9 1 6 3 8],2080850,[5 7 4 9 0 3 1 6 2 8],1942041,[5 3 1 4 2 8 6 7 9 0],2473998,[6 8 2 9 0 5 3 1 4 7],3353356,[9 2 1 4 5 7 0 8 3 6],1007750,[2 7 9 8 4 6 3 1 0 5],2445091,[6 7 5 0 9 4 8 1 3 2],549525,[1 5 7 0 3 4 9 6 8 2],573403,[1 6 2 8 4 3 9 0 7 5],2179725,[6 0 1 5 4 3 9 7 8 2]
11,24317,[0 1 6 8 7 5 2 9 4 3],3609019,[9 8 4 0 5 1 7 2 6 3],2069182,[5 7 2 4 9 0 8 6 1 3],2866343,[7 9 0 6 1 2 8 5 4 3],2708896,[7 4 1 5 3 0 8 9 2 6],2217483,[6 0 9 8 7 1 2 4 5 3],210895,[0 6 2 8 9 4 3 1 7 5],1676104,[4 6 5 3 9 2 7 8 0 1],2026912,[5 6 2 1 0 9 7 8 3 4],1569432,[4 2 9 3 7 6 0 1 5 8],1499550,[4 1 2 6 8 3 5 0 7 9],2595529,[7 1 3 9 8 4 0 2 6 5],2700547,[7 3 9 6 5 2 8 0 4 1],1288897,[3 5 9 7 0 8 1 2 6 4],1032745,[2 8 5 9 3 1 0 4 7 6],1361715,[3 7 8 1 2 6 0 5 9 4],136200,[0 4 5 1 3 2 6 7 8 9],3341397,[9 1 7 8 5 6 4 2 3 0],1238822,[3 4 7 8 5 2 6 1 0 9],591095,[1 6 7 2 9 5 8 4 3 0]
13,696817,[1 9 3 2 7 8 0 4 6 5],2370127,[6 4 8 1 9 0 3 2 7 5],1305140,[3 6 2 9 7 0 8 4 1 5],3000997,[8 2 4 5 0 3 7 1 9 6],2737594,[7 4 9 1 2 3 5 8 0 6],2964561,[8 1 5 2 4 7 3 6 9 0],101237,[0 3 6 1 7 8 2 9 5 4],2814998,[7 6 8 3 5 1 4 2 0 9],2667407,[7 3 1 2 8 4 9 6 5 0],613491,[1 7 2 8 0 5 3 6 9 4],1580980,[4 3 1 7 8 9 0 6 2 5],3529653,[9 6 4 2 1 7 8 3 5 0],2005124,[5 4 7 8 9 1 6 2 0 3],223531,[0 6 5 3 4 8 9 1 7 2],393985,[1 0 8 3 4 5 2 6 9 7],1980113,[5 4 0 9 1 8 6 7 3 2],3325415,[9 1 4 7 5 6 8 3 2 0],3150523,[8 6 1 0 7 3 9 2 5 4],2177405,[6 0 1 2 4 3 5 9 8 7],1262881,[3 5 2 7 0 1 4 6 9 8]
