98%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,895111,[2 5 1 7 3 4 6 0 9 8],1437248,[3 9 6 1 2 0 5 7 4 8],3559587,[9 7 2 1 8 3 0 5 6 4],1335684,[3 7 1 0 2 8 6 4 5 9],1027924,[2 8 4 9 6 0 1 7 3 5],2541632,[7 0 1 4 2 5 6 8 3 9],2830724,[7 8 1 5 4 2 9 3 0 6],966426,[2 6 9 7 1 4 8 0 3 5],1252685,[3 5 0 6 9 1 2 8 7 4],3311029,[9 1 0 8 5 7 4 2 6 3],2152611,[5 9 3 0 7 4 1 6 8 2],1359127,[3 7 6 5 8 0 2 1 9 4],1212438,[3 4 0 6 9 7 2 1 5 8],580971,[1 6 4 2 9 5 0 7 8 3],1920547,[5 2 7 0 4 6 9 1 8 3],3205814,[8 7 4 0 5 1 6 3 2 9],570996,[1 6 2 4 0 5 8 3 7 9],3401909,[9 3 2 8 7 1 0 6 5 4],205257,[0 6 1 8 2 5 4 7 9 3],1823205,[5 0 2 8 3 4 9 6 7 1]
3,3246245,[8 9 4 0 6 1 2 7 5 3],405271,[1 2 0 5 9 4 6 3 8 7],1488856,[4 0 9 3 8 1 6 7 2 5],2351968,[6 4 2 7 5 8 3 9 0 1],868500,[2 4 6 3 1 7 8 0 5 9],1854579,[5 0 9 8 6 7 1 3 4 2],2777487,[7 5 9 0 4 6 3 2 8 1],3522235,[9 6 2 7 8 5 4 0 3 1],2860685,[7 8 9 4 1 0 2 6 5 3],404225,[1 2 0 4 6 7 8 9 5 3],1354264,[3 7 5 6 9 2 4 8 0 1],971497,[2 7 0 8 3 9 1 4 6 5],1100973,[3 0 4 6 1 8 9 5 7 2],2705001,[7 4 0 6 9 5 2 3 8 1],2478357,[6 8 3 7 0 9 5 2 4 1],1332693,[3 7 0 4 9 6 8 2 5 1],1821662,[5 0 2 6 1 7 8 4 3 9],2365051,[6 4 7 1 8 5 9 0 3 2],2676937,[7 3 4 0 9 8 1 2 6 5],2738170,[7 4 9 2 0 1 5 8 3 6]
5,65127,[0 2 6 9 4 7 5 3 8 1],2944551,[8 1 0 3 6 9 5 4 7 2],869266,[2 4 6 5 1 9 3 8 0 7],2989470,[8 2 1 3 0 5 6 4 7 9],834358,[2 3 7 5 8 9 6 4 0 1],3344245,[9 1 8 4 6 5 3 0 7 2],1570837,[4 2 9 6 7 1 5 0 8 3],2710698,[7 4 1 8 9 0 6 2 3 5],2860019,[7 8 9 3 1 4 2 6 5 0],1916069,[5 2 6 1 3 4 0 9 8 7],997880,[2 7 6 9 8 4 1 3 0 5],1433085,[3 9 5 2 4 1 8 6 7 0],2072164,[5 7 3 1 0 2 4 9 6 8],1159871,[3 1 8 0 9 5 7 6 4 2],2763264,[7 5 4 1 9 2 0 3 6 8],823698,[2 3 5 6 0 1 9 4 7 8],1413878,[3 9 0 5 7 2 6 4 1 8],1712702,[4 7 3 8 6 2 5 1 0 9],2922404,[8 0 4 7 9 2 6 3 1 5],1668814,[4 6 3 0 8 7 9 5 1 2]
7,1894942,[5 1 9 8 7 0 6 4 2 3],2732637,[7 4 8 1 2 9 6 3 5 0],2670846,[7 3 1 9 5 0 4 2 6 8],442173,[1 2 9 7 0 6 8 4 5 3],2850097,[7 8 5 3 2 9 0 1 6 4],1613124,[4 5 0 1 6 8 7 2 3 9],3298332,[9 0 7 4 1 2 6 3 5 8],1859641,[5 1 0 9 8 2 3 4 7 6],273120,[0 7 8 2 4 1 3 5 6 9],1160684,[3 1 8 4 0 5 9 6 2 7],2131390,[5 8 7 9 1 3 6 4 0 2],770935,[2 1 0 9 7 5 4 3 8 6],127208,[0 4 2 3 8 1 6 7 5 9],3425152,[9 3 8 5 0 7 4 6 1 2],1426834,[3 9 4 0 7 2 5 8 1 6],3340933,[9 1 7 8 2 0 5 3 6 4],1816942,[5 0 1 6 7 2 9 8 3 4],2428243,[6 7 1 8 4 2 9 0 5 3],2668311,[7 3 1 4 9 8 5 2 6 0],235036,[0 6 8 5 3 7 1 9 2 4]
9,2461849,[6 8 0 4 2 5 1 3 9 7],105505,[0 3 6 9 5 2 1 4 8 7],235313,[0 6 8 5 7 9 3 4 2 1],2592056,[7 1 3 4 0 6 5 8 2 9],226357,[0 6 5 9 3 2 7 1 8 4],2282486,[6 2 5 9 0 7 4 3 1 8],2149516,[5 9 2 4 3 7 0 8 1 6],3564643,[9 7 3 1 8 2 6 0 5 4],1230483,[3 4 6 1 0 2 5 8 9 7],1080125,[2 9 7 3 1 0 4 8 6 5],3074343,[8 4 1 9 7 3 5 2 6 0],3488320,[9 5 4 0 8 2 6 7 1 3],3596922,[9 8 1 5 6 2 7 0 3 4],3296373,[9 0 7 1 3 6 8 4 5 2],2171523,[5 9 7 8 0 1 2 4 6 3],1240130,[3 4 8 0 5 6 1 7 2 9],1656882,[4 6 0 8 2 3 9 1 5 7],2267268,[6 2 1 8 9 7 4 0 3 5],3366936,[9 2 5 0 3 8 1 4 6 7],1953172,[5 3 4 6 8 2 0 9 1 7]
11,2115627,[5 8 3 7 2 1 0 6 9 4],101845,[0 3 6 2 5 8 7 1 9 4],1028225,[2 8 5 0 1 6 7 9 4 3],3275459,[9 0 2 8 3 5 4 7 6 1],3082347,[8 4 3 6 0 2 1 7 9 5],1570142,[4 2 9 5 7 3 6 1 0 8],2012577,[5 4 9 2 1 6 3 7 8 0],497109,[1 4 3 7 5 6 9 2 8 0],2258328,[6 2 0 1 7 5 3 4 8 9],1671791,[4 6 3 7 9 2 8 5 1 0],1844153,[5 0 7 9 2 8 4 6 3 1],557165,[1 5 8 4 9 0 2 7 6 3],2362264,[6 4 5 7 9 2 3 8 0 1],561873,[1 5 9 4 3 2 6 7 8 0],1907809,[5 2 3 6 8 4 0 1 9 7],1330058,[3 6 9 8 1 7 0 4 2 5],1360347,[3 7 6 9 2 1 0 5 8 4],1864958,[5 1 3 0 4 6 8 7 2 9],3359512,[9 2 3 5 8 7 4 6 0 1],2231669,[6 1 3 8 5 2 0 9 7 4]
13,3281136,[9 0 4 1 2 8 3 5 6 7],1948814,[5 3 2 7 8 0 6 4 1 9],1454266,[4 0 1 6 8 9 3 7 2 5],2410888,[6 5 8 2 3 7 4 9 0 1],1570387,[4 2 9 6 0 5 8 1 7 3],2715354,[7 4 2 8 1 9 6 0 3 5],687995,[1 9 0 5 6 3 4 8 7 2],2585616,[7 1 2 0 3 9 4 5 6 8],2681214,[7 3 4 9 8 2 1 0 5 6],2107133,[5 8 2 0 6 4 1 9 7 3],2479415,[6 8 3 9 4 5 7 2 1 0],1998059,[5 4 6 3 0 7 2 9 8 1],1427012,[3 9 4 0 8 6 7 2 1 5],536221,[1 5 3 4 8 6 7 0 9 2],232044,[0 6 8 1 3 7 5 2 4 9],3423527,[9 3 8 1 7 2 6 5 4 0],1748247,[4 8 2 9 0 6 5 3 7 1],2926758,[8 0 5 6 9 4 2 1 3 7],3045645,[8 3 5 2 0 4 9 6 7 1],2147023,[5 9 1 8 7 6 2 0 4 3]
