10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,163267,[0 5 1 4 8 6 9 2 7 3],297947,[0 8 4 1 7 9 3 6 5 2],779791,[2 1 4 8 0 5 6 3 9 7],320143,[0 8 9 4 5 7 2 1 6 3],1037165,[2 8 6 7 4 0 1 9 5 3],1533618,[4 2 0 5 1 3 9 6 7 8],2067476,[5 7 2 1 4 9 8 3 0 6],1516294,[4 1 6 8 9 5 7 3 0 2],1221560,[3 4 2 5 7 8 1 6 0 9],561958,[1 5 9 4 3 8 7 6 0 2],443037,[1 2 9 8 3 7 6 4 5 0],1092411,[3 0 1 8 4 6 2 7 9 5],2585497,[7 1 0 9 8 6 2 3 5 4],1212137,[3 4 0 6 7 1 8 9 5 2],2821462,[7 6 9 5 4 0 8 3 1 2],2773058,[7 5 8 1 3 9 0 4 2 6],670462,[1 8 6 0 3 2 9 7 4 5],625581,[1 7 5 0 9 2 8 4 6 3],1001393,[2 7 8 5 6 9 3 4 1 0],1620916,[4 5 1 7 2 8 0 9 3 6]
2,128879,[0 4 2 6 9 8 7 5 3 1],151165,[0 4 7 9 8 5 3 1 6 2],532587,[1 5 2 7 8 3 0 6 9 4],501510,[1 4 5 6 7 2 3 0 8 9],1318910,[3 6 7 5 8 9 2 1 0 4],1561852,[4 2 7 9 1 5 0 8 3 6],2214906,[6 0 9 4 2 5 8 1 3 7],1439532,[3 9 6 5 2 0 7 1 4 8],1101648,[3 0 4 7 1 6 2 5 8 9],315121,[0 8 7 4 6 1 2 3 9 5],395853,[1 0 8 5 7 6 9 3 4 2],1240993,[3 4 8 1 6 7 0 2 9 5],2380995,[6 5 0 3 9 7 1 4 8 2],1464315,[4 0 3 6 8 7 1 5 9 2],3100787,[8 4 9 1 5 7 2 6 3 0],2982922,[8 1 9 6 7 4 2 5 0 3],732836,[2 0 3 5 8 9 7 4 1 6],384607,[1 0 6 4 3 2 7 5 9 8],896041,[2 5 1 8 6 0 3 4 9 7],1840170,[5 0 7 1 8 6 9 2 3 4]
3,125919,[0 4 1 9 8 3 6 5 7 2],302913,[0 8 5 1 7 3 4 6 9 2],487944,[1 4 0 8 7 3 2 5 6 9],449130,[1 3 2 0 8 7 9 4 5 6],1144488,[3 1 5 0 7 6 2 4 8 9],1668491,[4 6 3 0 5 1 7 9 8 2],2049291,[5 6 8 4 1 3 0 7 9 2],1275976,[3 5 7 1 2 0 8 9 4 6],1164298,[3 1 9 0 2 6 5 8 4 7],591806,[1 6 7 3 9 5 4 2 0 8],343261,[0 9 5 1 7 4 6 2 8 3],1296116,[3 6 1 2 0 9 8 5 4 7],2331360,[6 3 8 5 0 1 2 4 7 9],1319191,[3 6 7 8 1 2 4 0 9 5],3036552,[8 3 2 5 4 7 0 1 6 9],3045697,[8 3 5 2 0 9 1 4 7 6],478695,[1 3 8 9 7 0 5 4 6 2],583669,[1 6 4 8 5 9 3 0 7 2],968052,[2 7 0 1 6 3 8 4 5 9],1771333,[4 8 9 3 1 0 6 2 7 5]
4,363489,[1 0 2 3 9 4 6 7 8 5],268739,[0 7 6 3 2 5 4 9 8 1],642828,[1 7 9 4 6 8 3 0 2 5],532941,[1 5 2 8 3 0 9 6 7 4],1190955,[3 2 6 4 0 8 1 7 9 5],1639482,[4 5 7 2 0 3 9 1 6 8],2200011,[6 0 5 4 7 3 1 8 9 2],1336721,[3 7 1 2 6 4 8 9 5 0],1254701,[3 5 0 9 6 8 1 7 4 2],385641,[1 0 6 5 7 8 3 4 9 2],580094,[1 6 4 0 8 2 7 5 3 9],1149779,[3 1 6 0 9 5 4 8 7 2],2402263,[6 5 4 7 2 9 1 0 8 3],1551028,[4 2 5 8 1 3 0 9 6 7],3097609,[8 4 7 5 1 3 0 2 9 6],2816334,[7 6 8 5 3 2 1 0 4 9],592464,[1 6 7 4 9 2 0 3 5 8],471891,[1 3 7 6 4 5 0 8 9 2],835366,[2 3 7 8 1 4 9 6 0 5],1632250,[4 5 3 9 0 1 6 8 2 7]
5,475376,[1 3 8 4 2 6 5 7 0 9],404283,[1 2 0 4 7 3 5 8 9 6],638370,[1 7 8 5 4 6 9 0 2 3],444341,[1 3 0 4 2 9 5 8 7 6],1215358,[3 4 1 0 9 8 7 6 2 5],1838394,[5 0 6 8 2 9 7 1 3 4],2098644,[5 8 0 3 7 6 4 1 2 9],1370564,[3 7 9 8 4 1 6 2 0 5],1444873,[3 9 7 5 6 4 0 1 8 2],323147,[0 9 1 2 7 8 4 6 5 3],584543,[1 6 4 9 8 0 7 5 3 2],1161039,[3 1 8 4 6 2 7 5 9 0],2448525,[6 7 5 8 4 1 9 2 3 0],1511714,[4 1 5 9 6 7 0 3 2 8],2922525,[8 0 4 9 1 3 7 5 6 2],2860145,[7 8 9 3 2 4 5 6 1 0],632814,[1 7 6 4 9 3 2 0 5 8],469761,[1 3 7 2 5 8 4 6 9 0],1010190,[2 8 0 5 1 4 6 3 7 9],1830765,[5 0 4 2 8 3 9 6 7 1]
6,338123,[0 9 4 1 6 7 3 8 5 2],340410,[0 9 4 5 7 6 8 1 2 3],593585,[1 6 7 8 3 4 5 9 2 0],420621,[1 2 5 6 3 0 9 7 8 4],1180948,[3 2 4 5 1 6 0 9 7 8],1727574,[4 7 8 6 2 3 1 0 5 9],2189946,[6 0 3 5 7 4 9 1 2 8],1296542,[3 6 1 2 8 5 7 4 0 9],1103104,[3 0 4 9 1 6 7 8 2 5],534765,[1 5 3 0 8 4 9 6 7 2],544221,[1 5 4 9 8 0 7 3 6 2],1418258,[3 9 1 4 7 8 0 5 2 6],2487126,[6 8 5 3 2 0 4 1 7 9],1447973,[3 9 8 2 0 5 1 7 6 4],2993458,[8 2 1 9 5 4 3 7 0 6],3105093,[8 5 0 1 6 7 9 3 4 2],409500,[1 2 3 4 8 6 7 0 5 9],531469,[1 5 2 6 0 9 7 3 8 4],994815,[2 7 6 3 8 0 5 4 9 1],1721880,[4 7 6 5 3 0 1 2 8 9]
7,400829,[1 0 9 5 7 3 2 8 6 4],287972,[0 8 2 1 9 6 7 4 3 5],609860,[1 7 2 0 3 4 9 6 5 8],376228,[1 0 4 7 6 3 2 9 5 8],1168538,[3 1 9 7 8 6 0 4 2 5],1804953,[4 9 7 0 8 2 3 5 6 1],1966264,[5 3 8 0 9 4 6 7 1 2],1386506,[3 8 4 0 7 2 1 6 5 9],1245019,[3 4 9 0 2 1 8 5 7 6],530689,[1 5 2 4 0 7 3 6 9 8],483506,[1 3 9 8 5 2 0 6 4 7],1196180,[3 2 7 4 5 0 9 6 1 8],2342170,[6 4 0 8 1 2 5 9 3 7],1406202,[3 8 9 0 1 4 7 2 5 6],2902066,[7 9 8 5 3 6 1 4 0 2],2839387,[7 8 3 2 5 4 9 0 6 1],701224,[1 9 4 0 8 5 6 7 2 3],361938,[0 9 8 6 5 1 7 2 3 4],1057215,[2 9 1 7 4 0 6 5 8 3],1689472,[4 6 9 1 3 8 5 7 0 2]
